16:55:16 | DEBUG | __init__: 623 | Using proactor: IocpProactor
16:55:16 | DEBUG | make_request: 133 | Make request: "getMe" with data: "{}" and files "None"
16:55:16 | DEBUG | check_result: 95 | Response for getMe: [200] "'{"ok":true,"result":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot","can_join_groups":true,"can_read_all_group_messages":false,"supports_inline_queries":false}}'"
16:55:16 | INFO | _welcome: 362 | Bot: test [@kartoshka1019_bot]
16:55:16 | INFO | start_polling: 358 | Start polling.
16:55:16 | DEBUG | make_request: 133 | Make request: "getWebhookInfo" with data: "{}" and files "None"
16:55:16 | DEBUG | check_result: 95 | Response for getWebhookInfo: [200] "'{"ok":true,"result":{"url":"","has_custom_certificate":false,"pending_update_count":0}}'"
16:55:16 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
16:55:36 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:55:36 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
16:55:57 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:55:57 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
16:56:17 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:56:17 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
16:56:26 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":533749001,\n"message":{"message_id":61,"from":{"id":1172012859,"is_bot":false,"first_name":"\\u0414\\u0430\\u0448\\u0430","language_code":"en"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634186,"text":"\\ud83d\\ude19"}}]}'"
16:56:26 | DEBUG | start_polling: 395 | Received 1 updates.
16:56:26 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1172012859, 'text': '\U0001f619'}" and files "None"
16:56:26 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749002, 'timeout': 20}" and files "None"
16:56:26 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":62,"from":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634186,"text":"\\ud83d\\ude19"}}'"
16:56:46 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:56:46 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749002, 'timeout': 20}" and files "None"
16:57:06 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:57:07 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749002, 'timeout': 20}" and files "None"
16:57:27 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:57:27 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749002, 'timeout': 20}" and files "None"
16:57:47 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:57:47 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749002, 'timeout': 20}" and files "None"
16:58:07 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:58:07 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749002, 'timeout': 20}" and files "None"
16:58:27 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:58:27 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749002, 'timeout': 20}" and files "None"
16:58:47 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
